GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484015086,2158,9198,19.0,81.0
484015087,22768,66833,25.41,74.59
484015088,3171,62199,4.85,95.15
484015089,5271,53231,9.01,90.99
484015090,8976,23568,27.58,72.42
484015091,5815,14658,28.4,71.6
484015092,2620,36867,6.64,93.36
484015093,15427,2993,83.75,16.25
484015094,700,5034,12.21,87.79
484015095,1568,45466,3.33,96.67
484015096,36383,47869,43.18,56.82
484015097,16436,0,100.0,0.0
484015098,6652,42408,13.56,86.44
484015099,28495,3250,89.76,10.24
484015100,45897,863491,5.05,94.95
484015101,6441,6462,49.92,50.08
484015102,6165,151467,3.91,96.09
484015103,26485,34641,43.33,56.67
484015104,42597,10678,79.96,20.04
484015105,27337,24132,53.11,46.89
484015106,44164,24876,63.97,36.03
484015107,95989,12186,88.73,11.27
484015108,18990,35619,34.77,65.23
484015109,1632,3478,31.94,68.06
484015110,10630,2869,78.75,21.25
484015111,36282,167133,17.84,82.16
484015112,10243,8591,54.39,45.61
484015113,0,279923,0.0,100.0
484016001,5307,5992,46.97,53.03
484016002,2071,12586,14.13,85.87
484016003,11603,11380,50.49,49.51
484016004,45059,65305,40.83,59.17
484016005,6383,4507,58.61,41.39
484016006,18515,107175,14.73,85.27
484016007,3524,0,100.0,0.0
484016008,24082,0,100.0,0.0
484016009,10741,25395,29.72,70.28
484016010,11453,8789,56.58,43.42
484016011,2544,9134,21.78,78.22
484016012,12796,32611,28.18,71.82
484016013,5498,3525,60.93,39.07
484016014,3413,13486,20.2,79.8
484016015,7850,11449,40.68,59.32
484016016,14084,6878,67.19,32.81
484016017,42048,9095,82.22,17.78
484016018,5882,3601,62.03,37.97
484016019,8534,11586,42.42,57.58
484016020,9010,20897,30.13,69.87
484016021,2284,11231,16.9,83.1
484016022,14431,7665,65.31,34.69
484016023,3059,7356,29.37,70.63
484016024,653,19907,3.18,96.82
484016025,12386,28126,30.57,69.43
484016026,4654,0,100.0,0.0
484016027,4938,0,100.0,0.0
484016028,2530,2702,48.36,51.64
484016029,6853,5398,55.94,44.06
484016030,7248,4599,61.18,38.82
484016031,10077,5613,64.23,35.77
484016032,8356,13082,38.98,61.02
484016033,31891,93713,25.39,74.61
484016034,15086,15489,49.34,50.66
484016035,4352,7288,37.39,62.61
484016036,5399,2545,67.96,32.04
484016037,14468,27417,34.54,65.46
484016038,5264,3749,58.4,41.6
484016039,5870,12510,31.94,68.06
484016040,9027,7016,56.27,43.73
484016041,9182,5118,64.21,35.79
484016042,5420,63087,7.91,92.09
484016043,9309,3634,71.92,28.08
484016044,12378,37697,24.72,75.28
484016045,4895,10039,32.78,67.22
484016046,13088,6681,66.2,33.8
484016047,1266,4479,22.04,77.96
484016048,10759,8163,56.86,43.14
484016049,30139,59016,33.81,66.19
484016050,10434,184955,5.34,94.66
484016051,64301,779286,7.62,92.38
484016052,5987,1987,75.08,24.92
484016053,4902,40812,10.72,89.28
