GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484016028,933,4104,5,18.5,81.4,0.1
484016029,312,11113,45,2.72,96.89,0.39
484016030,62,11300,11,0.55,99.36,0.1
484016031,12198,2616,0,82.34,17.66,0.0
484016032,2580,17490,127,12.77,86.6,0.63
484016033,30124,87709,256,25.51,74.27,0.22
484016034,2651,25766,242,9.25,89.91,0.84
484016035,311,10771,44,2.8,96.81,0.4
484016036,1417,6246,9,18.47,81.41,0.12
484016037,5354,33489,243,13.7,85.68,0.62
484016038,895,7651,9,10.46,89.43,0.11
484016039,3363,13910,34,19.43,80.37,0.2
484016040,3620,11428,5,24.05,75.92,0.03
484016041,1583,11927,42,11.68,88.01,0.31
484016042,18019,46555,138,27.84,71.94,0.21
484016043,2715,9657,20,21.91,77.93,0.16
484016044,4045,43476,54,8.5,91.38,0.11
484016045,116,14016,0,0.82,99.18,0.0
484016046,1787,16849,83,9.55,90.01,0.44
484016047,393,5059,16,7.19,92.52,0.29
484016048,1133,16439,17,6.44,93.46,0.1
484016049,10046,72674,314,12.1,87.52,0.38
484016050,19597,165056,1049,10.55,88.88,0.56
484016051,93027,712071,3298,11.51,88.08,0.41
484016052,412,7208,19,5.39,94.36,0.25
484016053,661,41878,123,1.55,98.16,0.29
484016054,26693,3763,40,87.53,12.34,0.13
484016055,149,7428,31,1.96,97.63,0.41
484016056,14404,5190,83,73.2,26.38,0.42
484016057,1501,7022,4,17.6,82.35,0.05
484016058,352,8601,37,3.92,95.67,0.41
484016059,13888,9044,83,60.34,39.3,0.36
484016060,5203,14741,44,26.03,73.75,0.22
484016061,1698,12343,48,12.05,87.61,0.34
484016062,625,24482,53,2.48,97.31,0.21
484016063,30490,6673,34,81.97,17.94,0.09
484016064,36801,55583,311,39.7,59.96,0.34
484016065,2627,13046,41,16.72,83.02,0.26
484016066,6548,20941,98,23.74,75.91,0.36
484016067,14175,85920,536,14.09,85.38,0.53
484016068,1769,13001,15,11.96,87.93,0.1
484016069,1588,11571,21,12.05,87.79,0.16
484016070,10074,15466,70,39.34,60.39,0.27
484016071,860,9222,0,8.53,91.47,0.0
484016072,28494,44658,434,38.72,60.69,0.59
484016073,8146,65753,250,10.99,88.68,0.34
484016074,335,16140,134,2.02,97.18,0.81
484016075,1040,11244,27,8.45,91.33,0.22
484016076,15806,30842,44,33.85,66.05,0.09
484016077,4429,14026,25,23.97,75.9,0.14
484016078,4620,3872,16,54.3,45.51,0.19
484016079,5209,68058,308,7.08,92.5,0.42
484016080,4170,26992,65,13.35,86.44,0.21
484016081,16685,12957,41,56.21,43.65,0.14
484016082,10579,22486,53,31.94,67.9,0.16
484016083,143,14572,11,0.97,98.95,0.07
484016084,1751,12855,89,11.92,87.48,0.61
484016085,14421,94286,120,13.25,86.64,0.11
484016086,2553,20223,79,11.17,88.48,0.35
484016087,11857,3485,22,77.17,22.68,0.14
484016088,6024,8212,6,42.3,57.66,0.04
484016089,24,12078,14,0.2,99.69,0.12
484016090,1653,24988,64,6.19,93.57,0.24
484016091,762,5355,10,12.44,87.4,0.16
484016092,2355,9329,19,20.12,79.71,0.16
484016093,131,5462,33,2.33,97.08,0.59
484016094,1121,25692,239,4.14,94.97,0.88
484016095,2113,21986,64,8.74,90.99,0.26
484016096,657,12659,91,4.9,94.42,0.68
484016097,11040,3040,14,78.33,21.57,0.1
484016098,1526,6640,17,18.65,81.14,0.21
484016099,109896,224327,1485,32.74,66.82,0.44
484016100,3659,18282,117,16.59,82.88,0.53
484016101,1882,13097,3,12.56,87.42,0.02
484016102,1754,18028,81,8.83,90.76,0.41
484016103,1466,28641,48,4.86,94.98,0.16
484016104,21955,50620,207,30.17,69.55,0.28
484016105,32830,161504,364,16.86,82.95,0.19
484016106,256,2846,6,8.24,91.57,0.19
484016107,2293,43915,86,4.95,94.86,0.19
484016108,10592,6516,56,61.71,37.96,0.33
484016109,42519,105023,626,28.7,70.88,0.42
484017001,3034,13649,100,18.08,81.33,0.6
484017002,6722,17338,60,27.87,71.88,0.25
484017003,11006,25871,38,29.81,70.08,0.1
484017004,17791,67176,87,20.92,78.98,0.1
484017005,1696,7543,0,18.36,81.64,0.0
484017006,47288,129161,480,26.73,73.0,0.27
484017007,72656,287446,3644,19.97,79.02,1.0
484017008,17070,85594,50,16.62,83.33,0.05
484017009,7568,15940,30,32.15,67.72,0.13
484017010,7316,10219,6,41.71,58.26,0.03
484017011,36679,169757,742,17.7,81.94,0.36
