GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484010029,741,149,717,11,45.8,9.21,44.31,0.68
484010030,604,122,558,2,46.97,9.49,43.39,0.16
484010031,2093,438,2589,17,40.74,8.53,50.4,0.33
484010032,18176,4095,15319,42,48.3,10.88,40.71,0.11
484010033,1890,718,2571,6,36.45,13.85,49.59,0.12
484010034,8233,1240,9116,88,44.08,6.64,48.81,0.47
484010035,3617,787,4289,67,41.29,8.98,48.96,0.76
484010036,6768,1260,8070,8,42.02,7.82,50.11,0.05
484010037,2541,677,3430,8,38.18,10.17,51.53,0.12
484010038,9481,1279,6947,38,53.43,7.21,39.15,0.21
484011001,36095,4463,32223,430,49.3,6.1,44.01,0.59
484011002,40423,7410,38439,402,46.64,8.55,44.35,0.46
484011003,66167,11251,59511,630,48.1,8.18,43.26,0.46
484011004,23182,5040,21108,162,46.84,10.18,42.65,0.33
484011005,45769,6600,40616,203,49.11,7.08,43.59,0.22
484011006,1590,488,2042,20,38.41,11.79,49.32,0.48
484011007,220302,32019,162202,1297,52.98,7.7,39.01,0.31
484011008,14988,2287,14048,131,47.65,7.27,44.66,0.42
484011009,25874,7063,29833,226,41.07,11.21,47.36,0.36
484011010,4147,733,3795,38,47.6,8.41,43.56,0.44
484011011,39835,6032,33044,194,50.36,7.63,41.77,0.25
484011012,11289,3569,9223,21,46.84,14.81,38.27,0.09
484011013,10264,934,9273,83,49.94,4.54,45.12,0.4
484011014,65578,6092,48371,327,54.48,5.06,40.19,0.27
484011015,81425,10063,63932,432,52.25,6.46,41.02,0.28
484011016,7028,1535,8092,76,42.01,9.17,48.37,0.45
484011017,243009,24850,194650,1062,52.42,5.36,41.99,0.23
484011018,14594,2736,13015,76,47.97,8.99,42.78,0.25
484011019,16395,3393,18446,304,42.54,8.8,47.86,0.79
484011020,803037,61309,464339,5533,60.19,4.6,34.8,0.41
484011021,17243,4611,17889,93,43.28,11.57,44.91,0.23
484011022,8575,1510,8244,65,46.62,8.21,44.82,0.35
484011023,58183,7015,53044,539,48.98,5.91,44.66,0.45
484011024,4659,501,4395,87,48.32,5.2,45.58,0.9
484011025,40294,3084,20473,172,62.94,4.82,31.98,0.27
484011026,24599,3375,21331,212,49.68,6.82,43.08,0.43
484011027,104621,14290,102427,328,47.2,6.45,46.21,0.15
484011028,33671,7025,34972,581,44.16,9.21,45.87,0.76
484011029,13698,2584,14857,78,43.88,8.28,47.59,0.25
484011030,38931,8212,40261,292,44.39,9.36,45.91,0.33
484011031,56222,6889,38718,596,54.89,6.73,37.8,0.58
484011032,33962,4830,28584,134,50.31,7.15,42.34,0.2
484011033,41647,9863,45951,559,42.49,10.06,46.88,0.57
484011034,1805,606,1975,10,41.06,13.79,44.93,0.23
484011035,29016,5566,28492,228,45.84,8.79,45.01,0.36
484011036,2386,382,2721,31,43.22,6.92,49.29,0.56
484011037,80818,12944,60766,515,52.13,8.35,39.19,0.33
484011038,4271,764,4057,46,46.74,8.36,44.4,0.5
484011039,12581,3230,12674,432,43.51,11.17,43.83,1.49
484011040,6708,1118,7104,27,44.85,7.47,47.5,0.18
484011041,25134,5485,19950,306,49.4,10.78,39.21,0.6
484011042,57471,7087,53062,519,48.65,6.0,44.91,0.44
484011043,6828,1341,7648,24,43.1,8.47,48.28,0.15
484011044,26520,2639,22070,117,51.65,5.14,42.98,0.23
484011045,2607,1344,4316,11,31.49,16.24,52.14,0.13
484011046,23937,10187,21034,329,43.14,18.36,37.91,0.59
484012001,325500,45417,249064,2258,52.31,7.3,40.03,0.36
484012002,4547,2150,10830,24,25.91,12.25,61.71,0.14
484012003,11160,1728,14507,225,40.41,6.26,52.52,0.81
484012004,2635,3932,7415,37,18.8,28.05,52.89,0.26
484012005,2923,482,2492,8,49.5,8.16,42.2,0.14
484012006,3356,1614,3326,37,40.27,19.37,39.91,0.44
484012007,11684,2097,11290,110,46.4,8.33,44.84,0.44
484012008,2410,916,3511,32,35.09,13.34,51.11,0.47
484012009,1191,793,1959,13,30.11,20.05,49.52,0.33
484012010,7162,2663,9569,93,36.75,13.67,49.1,0.48
484012011,24926,1995,20627,180,52.23,4.18,43.22,0.38
484012012,24801,2467,23564,22,48.77,4.85,46.34,0.04
484012013,13226,1904,12742,394,46.79,6.74,45.08,1.39
484012014,6650,828,5119,48,52.59,6.55,40.48,0.38
484012015,5966,427,4013,65,56.98,4.08,38.32,0.62
484012016,3723,592,5015,35,39.75,6.32,53.55,0.37
484012017,5248,837,5674,20,44.55,7.11,48.17,0.17
484012018,5653,1125,4119,80,51.5,10.25,37.52,0.73
484012019,4987,1475,4658,16,44.78,13.25,41.83,0.14
484012020,5516,2705,6405,48,37.59,18.43,43.65,0.33
484012021,25281,5835,25955,88,44.23,10.21,45.41,0.15
484012022,12257,2450,14438,284,41.65,8.33,49.06,0.97
484012023,8975,2206,8532,128,45.23,11.12,43.0,0.65
484012024,2549,433,2758,62,43.93,7.46,47.54,1.07
484012025,4795,1048,6676,45,38.16,8.34,53.14,0.36
484012026,1801,797,3878,6,27.78,12.3,59.83,0.09
484012027,5918,2452,7197,86,37.81,15.66,45.98,0.55
484012028,55928,9172,38645,262,53.77,8.82,37.16,0.25
484012029,114660,15433,83516,612,53.52,7.2,38.99,0.29
484012030,7539,1133,7590,225,45.73,6.87,46.04,1.36
484012031,1563,617,2454,11,33.65,13.28,52.83,0.24
484012032,8831,2194,14978,55,33.89,8.42,57.48,0.21
484012033,6597,939,5449,47,50.62,7.21,41.81,0.36
484012034,13976,1937,11906,197,49.89,6.91,42.5,0.7
484012035,66158,9034,43213,451,55.66,7.6,36.36,0.38
484012036,4135,1034,3782,40,45.99,11.5,42.06,0.44
484012037,2054,486,2266,3,42.71,10.11,47.12,0.06
484012038,67689,8906,42184,254,56.87,7.48,35.44,0.21
484012039,8393,1997,9816,88,41.36,9.84,48.37,0.43
484012040,6560,2455,9933,48,34.53,12.92,52.29,0.25
484012041,11471,2682,15080,99,39.11,9.14,51.41,0.34
484012042,7599,1522,4198,22,56.96,11.41,31.47,0.16
484012043,4654,7335,13296,110,18.33,28.88,52.36,0.43
484012044,4526,800,4174,66,47.31,8.36,43.63,0.69
484012045,8388,1882,10093,28,41.14,9.23,49.5,0.14
484012046,26968,2893,21594,146,52.26,5.61,41.85,0.28
484012047,1659,270,3213,24,32.11,5.23,62.2,0.46
484012048,17846,2607,14462,66,51.02,7.45,41.34,0.19
484012049,4316,879,4559,123,43.7,8.9,46.16,1.25
484012050,14431,3316,11496,145,49.11,11.28,39.12,0.49
484012051,10180,2788,12751,95,39.44,10.8,49.4,0.37
484012052,13095,4682,15813,44,38.93,13.92,47.01,0.13
484012053,14452,4214,19224,774,37.38,10.9,49.72,2.0
484012054,5675,1326,9963,124,33.21,7.76,58.3,0.73
484012055,42633,6429,35215,219,50.46,7.61,41.68,0.26
484012056,11286,4523,18385,190,32.82,13.15,53.47,0.55
484012057,24880,2638,22413,232,49.6,5.26,44.68,0.46
484012058,19432,2315,19125,135,47.39,5.65,46.64,0.33
484012059,9736,2012,11506,86,41.71,8.62,49.3,0.37
484012060,4452,807,5143,61,42.55,7.71,49.15,0.58
484012061,18278,2395,13072,31,54.12,7.09,38.7,0.09
484012062,6645,2480,6830,78,41.45,15.47,42.6,0.49
484012063,3107,884,3246,23,42.8,12.18,44.71,0.32
484012064,3341,1189,4546,70,36.53,13.0,49.7,0.77
484012065,2215,626,2662,3,40.23,11.37,48.35,0.05
484012066,33641,5931,29845,225,48.31,8.52,42.85,0.32
484012067,5969,1840,8370,623,35.53,10.95,49.82,3.71
484012068,2767,1318,4210,30,33.24,15.83,50.57,0.36
484012069,2580,683,2765,24,42.63,11.29,45.69,0.4
484012070,14588,1995,5750,83,65.08,8.9,25.65,0.37
484012071,16644,2976,15416,57,47.43,8.48,43.93,0.16
484012072,4780,1846,6323,169,36.44,14.07,48.2,1.29
484012073,8587,1301,5921,60,54.11,8.2,37.31,0.38
484012074,21423,2439,16007,167,53.51,6.09,39.98,0.42
484013001,8805,777,7385,39,51.78,4.57,43.43,0.23
484013002,15369,2392,15199,199,46.35,7.21,45.84,0.6
